gene_id	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9
ENSG00000000003	0	0	52	134	379	0	471	0	2.91
ENSG00000000005	0	0	0	0	0	0	0	0	0
ENSG00000000419	27	17	23	20	7	0	2	0	11
ENSG00000000457	61	31	63.55	125	0	0	0	0	12
ENSG00000000460	3	92	128.03	51.15	253.58	0	0	2765.98	0.99
ENSG00000000938	3738	2	2426	1	0	0	105	4	0
ENSG00000000971	50	2341	16	378	0	0	0	336	0
ENSG00000001036	379.97	12	297	363.77	0	65	337	0	0
ENSG00000001084	480.04	3	118.68	166.23	7	113	104	53.58	170.4
ENSG00000001167	199	0	77	331	144	0	4	0	3138
ENSG00000001460	22	1	15.4	86.37	0	0	3.21	0	0
ENSG00000001461	17	239	28	176	0	1	102	11	40
ENSG00000001497	1019	0	9	54	0	0	51	58	348
ENSG00000001561	136	0	1	1	0	0	13	0	1
ENSG00000001617	9	0	0	21	0	0	42	18	59
ENSG00000001626	0	0	1	45	0	22	1261	0	3716
ENSG00000001629	103	960	26	158	12	0	4	0	0
ENSG00000001630	446.77	7943	105.23	96.24	0	2.99	1240	131	1151
ENSG00000001631	64	87	462	220	383	0	3	2	194
ENSG00000002016	4	462	20	199	0	0	11	0	0
ENSG00000002079	0	0	0	0	0	0	0	0	0
ENSG00000002330	19	0	0	43	0	0	28	21	23
ENSG00000002549	1186	52	394	75	70	0	10	1	1
ENSG00000002586	294	3419	215	322	0	0	2074	0	0
ENSG00000002587	46	0	42.08	3	0	0	73	0	4
ENSG00000002726	0	0	30	106	0	1	490	0	2062
ENSG00000002745	0	0	0	0	0	0	0	0	0
ENSG00000002746	0	0	1.54	149.97	1	0	0	0	0
ENSG00000002822	64	0	51	38	0	0	2	0	0
ENSG00000002834	2054.08	4155.06	2429.45	1332.32	4440.96	219	1448.8	319	508.35
ENSG00000002919	106.07	5	146.89	1.74	35.1	0	10.94	0	322
ENSG00000002933	465	412	1546	1405	12	0	573	1	2
ENSG00000003056	1719	99	1663	295	0	0	593.77	2	718
ENSG00000003096	1	236	0	23	0	0	43	0	0
ENSG00000003137	3	0	110	0	0	1	0	0	0
ENSG00000003147	75	0	60	122	0	344	232	0	0
ENSG00000003249	0	0	0	0	0	0	0	0	0
ENSG00000003393	107	1	4	40	171	0	0	0	3
ENSG00000003400	412.01	49	935.61	104.04	0	0	1007.55	2	0
ENSG00000003402	3142.81	369.22	1710.5	1806.26	3053.44	958.69	1307.75	1042.81	986.53
ENSG00000003436	39	300	9	391.57	15.13	26.35	2	4	15.04
ENSG00000003509	2	0	79.72	8.84	1.39	0	16	0	35
ENSG00000003756	702.39	3323	1209.94	1012.42	5022.9	5303	795	142	4
ENSG00000003987	0	0	0	0	0	0	0	0	0
ENSG00000003989	1	39	0	38	0	1	0	0	0
ENSG00000004059	57	0	69	60	2.4	1	5	0	1
ENSG00000004139	111.39	0	2.18	50	0	0	0	0	0
ENSG00000004142	458	1	111	73	0	4	55	0	0
ENSG00000004399	1803	321	893	715	0	4	36	4494	1219
ENSG00000004455	2140.01	5	762	934	0	0	109	964.38	1958
ENSG00000004468	242	0.75	197	0	53	0	0	2	0
ENSG00000004478	1087	111.62	5050	1435	1937	1	1437	7	605
ENSG00000004487	480	1	150	109	0	0	22	0	87
ENSG00000004534	1255.81	21	391.64	1387.95	4	2	45	484	2082.52
ENSG00000004660	42.29	0	254.39	48.19	48.37	0	1.15	1	13.12
ENSG00000004700	121	0	221	10	0	0	0	0	7.91
ENSG00000004766	73	1	28	2	1.9	0	289	0	0
ENSG00000004776	6.67	1623.99	0	124	0	0	0	0	0
ENSG00000004777	2	0	0	2	0	0	0	0	0
ENSG00000004779	59	0	0	21	0	16	14	0	9
ENSG00000004799	1355	1423	193	326	0	10096	67	258	0
ENSG00000004809	0	0	0	0	0	0	0	0	0
ENSG00000004838	0	0	0	0	0	0	1	1.47	0
ENSG00000004846	6	0	1.67	11.68	2.93	0	0	21.14	6.84
ENSG00000004848	0	0	0	0	0	0	0	0	0
ENSG00000004864	59	2	73	24	0	0	27	0	3543
ENSG00000004866	145	0	15	49	1	0	22	1001	97
ENSG00000004897	303	1389	59	136	0	1	76	198	297
ENSG00000004939	0	0	4	2.51	0	0	0	0	2
ENSG00000004948	14	0	0	0	0	0	0	0	0
ENSG00000004961	132	0	42	4	0	7	486	0	216
ENSG00000004975	231	684	991	259	0	0	71	1	0
ENSG00000005001	0	0	0	4	0	0	0	0	0
ENSG00000005007	351	8	84	109	0	0	22	0	0
ENSG00000005020	576	81	444	294	4952	0	873	7	540
ENSG00000005022	1042	45	259	212	0	109	2627	0	2626
ENSG00000005059	135	24	42	41	41	0	1	0	0
ENSG00000005073	0	0	0	107.25	0	0	0	159.25	1
ENSG00000005075	184.98	0	313.02	25.54	0	1	665.93	0	0
ENSG00000005100	87	2	26.03	70	0	0	47	0	99
ENSG00000005102	1	1	0	0	0	0	16	0	0
ENSG00000005108	0	0	0	0	0	0	0	0	0
ENSG00000005156	81.55	0	81.68	57.89	0	1	0	523.36	0
ENSG00000005175	8	460	33	67	0	0	7	1	0
ENSG00000005187	221	0	283.7	5	0	0	0	0	0
ENSG00000005189	49	0	0	2	0	0	0	0	0
ENSG00000005194	138	0	4	11	0	0	0	0	0
ENSG00000005206	31	0	22	128	75	0	59	0	2
ENSG00000005238	132	0	172	197	42	0	0	0	0
ENSG00000005243	13	1021	0	522	0	0	2	0	0
ENSG00000005249	114	54	61	163	0	0	0	0	0
ENSG00000005302	493	0	361	87	0	4994	30	0	2
ENSG00000005339	2797.8	1125	813.08	712.4	0	7.49	503	286	3933
ENSG00000005379	479	0	230	18	0	0	0	0	1
ENSG00000005381	14	0	19	0	0	0	0	0	0
ENSG00000005421	0	0	0	0	0	0	0	0	0
ENSG00000005436	1	0	1	29	0	0	0	0	1
ENSG00000005448	3	0	4	13	4.9	0	53.78	0	0
ENSG00000005469	63	1	10	16	0	0	0	0	0
ENSG00000005471	1	0	3	3	0	0	0	0	0
ENSG00000005483	2585	2865	1174	520	1764	2	967	1702	2902
ENSG00000005486	1574	1	493	442	0	0	8	0	2
ENSG00000005513	0	0	0	1	0	0	0	0	0
ENSG00000005700	112	624	305	84	464	0	54	278	171
ENSG00000005801	298	0	38	24	97	0	104	0	1
ENSG00000005810	2868.31	6003	1388.33	1215.45	2415	1	104	1	850
ENSG00000005812	145.99	19	125.97	157	0	686.92	208	0	514.89
ENSG00000005844	2990	1	1610	1.79	7387	0	16	0	8630
ENSG00000005882	355	1	2	157	0	1	201	72	0
ENSG00000005884	311.64	0	39.58	60.56	23.62	195.28	1296.39	7.48	1
ENSG00000005889	430	94	453	245	66	2	0	0	0
ENSG00000005893	1116.64	1143	515.45	372	2.55	1	107.05	1	1
ENSG00000005961	0	0	0	0	0	0	0	0	0
ENSG00000005981	0	0	0	0	0	0	0	0	0
ENSG00000006007	662.21	54.26	159.69	339	161	1071	205.72	2	198.02
ENSG00000006015	96.1	68.32	278.73	91.27	2	0	81.17	11.08	47.18
ENSG00000006016	0	0	0	0	0	0	0	0	0
ENSG00000006025	13	1	0	112	0	1	0	271	0
ENSG00000006042	9.53	220	5.6	337.97	0.71	0	267.78	0	1.69
ENSG00000006047	0	0	0	6	0	0	0	0	0
ENSG00000006059	0	0	0	0	0	0	0	0	0
ENSG00000006062	86.18	1.11	61.81	75.77	64	0	502	0	0
ENSG00000006071	0	0	0	0	0	0	0	0	0
ENSG00000006116	0	0	0	0	0	0	0	0	0
ENSG00000006118	0	0	80	203	0	0	0	4	5
ENSG00000006125	1490	6094	496	706	0	4	1652	1	79
ENSG00000006128	0	0	0	0	0	0	0	0	0
ENSG00000006194	181	418	34	74	0	0	490	0	1491
ENSG00000006210	6	0	0	214.02	0	1	3	0	0
ENSG00000006282	442	0	122	637	0	0	69	0	516
ENSG00000006283	0	0	11	34	0	0	0	0	0
ENSG00000006327	3	3	38	37	0	0	0	0	26
ENSG00000006377	0	0	0	0	0	0	0	0	0
ENSG00000006432	0	0	5.54	73.79	0	0	1	2.39	50
ENSG00000006451	150	0	31	89	297.79	1793	464	1	300
ENSG00000006453	4.37	0	111	125.09	0	1454	87	0	11
ENSG00000006459	521	40	361	390	4	1	1651	0	340
ENSG00000006468	0	1	0	261	0	2	1	0	0
ENSG00000006530	236	0	74	139	0	0	82	0	0
ENSG00000006534	960.06	1	301.94	23.39	26.13	0	13.25	0	7.01
ENSG00000006555	0	0	1	17	0	0	76	23	0
ENSG00000006576	72	498	37	30	70	5	289	0	540
ENSG00000006606	0	0	0	24	0	0	0	0	0
ENSG00000006607	429.68	1099	558.6	146.28	610	566	414.08	3	1192.5
ENSG00000006611	0	0	18	582	0	0	567	0	6126
ENSG00000006625	37.41	0	17	351.65	0	0	0	0	2
ENSG00000006634	82	3	5	6	277	0	1	0	0
ENSG00000006638	27.86	3.97	67.66	61.93	191.31	0.96	28.13	38.87	6.87
ENSG00000006652	237	0	393	218	15	1132	201	0	26
ENSG00000006659	0	0	0	0	0	0	0	0	0
ENSG00000006695	16	0	7	50	0	0	120	0	0
ENSG00000006704	29.02	0	17	560.01	0	0	49	0	110
ENSG00000006712	719	325	72	714	0	0	109	0	175
ENSG00000006715	256	3	69	68.52	0	3	7	2029	0
ENSG00000006740	0	0	0	218	0	1	10	0	50
ENSG00000006744	443	0	15.96	92.91	101	1	1	1360	0
ENSG00000006747	137.59	0.82	67.36	66.53	3.8	1741	578.7	0	182.56
ENSG00000006756	60.93	0	175.41	89.03	3	0	8.82	0	0
ENSG00000006757	3	1	0	17	0	0	194	0	0
ENSG00000006788	0	0	0	1	0	0	0	0	0
ENSG00000006831	283	6	95	273	0	0	233	0	5
ENSG00000006837	1.67	9	4	9	15.49	0	0	0	0
ENSG00000007001	0	0	0	0	0	0	0	0	0
ENSG00000007038	0	0	0	0	0	0	0	0	0
ENSG00000007047	59	10	29	6	0	0	149	0	0
ENSG00000007062	17	1	3	252	241	1815	30	0	0
ENSG00000007080	8	0	0	98	0	0	0	0	136
ENSG00000007129	14	0	0	0	0	0	0	0	0
ENSG00000007168	983	1843	306	158	895	6	275	4	891
ENSG00000007171	0	0	1	0	0	0	114	0	217
ENSG00000007174	0	0	0	3	0	0	0	0	0
ENSG00000007202	1243	26	3119	1002	913.32	0	599	2	318
ENSG00000007216	0	0	0	0	0	0	97	0	0
ENSG00000007237	2100.04	8006	641	992.25	0	0	66	0	0
ENSG00000007255	68	0	38	20	0	0	72	0	5
ENSG00000007264	13	0	0	0	0	0	22	0	0
ENSG00000007306	0	0	0	0	0	39821	0	15	0
ENSG00000007312	0	0	1	0	0	0	0	0	1
ENSG00000007314	0	0	0	0	0	0	0	0	0
ENSG00000007341	21	845.13	77	48	484	0	3	0	0
ENSG00000007350	30	0	9	0	0	0	0	0	0
ENSG00000007372	1	0	0	0	0	0	0	0	0
ENSG00000007376	201	0	13	39	0	0	0	0	0
ENSG00000007384	0	93	7	363	1	0	86	0	0
ENSG00000007392	244	1	387	406	1	3819	592	1	2170
ENSG00000007402	0	0	1	0	0	0	76	0	18
ENSG00000007516	7.79	0	1.23	1.18	0	0	0	0	0
ENSG00000007520	448.21	1	91.77	194.82	0	0	34	0	36
ENSG00000007541	138	7	58.13	407	0	0	0	0	0
